"","or_area","as_area","year","tot_compl","or_lat","or_long","as_lat","as_long"
"2","Asia","Africa",1989,1187,30,100,5,25
"3","Europe","Africa",1989,135,50,10,5,25
"4","Latin America","Africa",1989,169,-15,-60,5,25
"5","North America","Africa",1989,3,45,-100,5,25
"6","Oceania","Africa",1989,1,-20,135,5,25
"7","Africa","Asia",1989,6884.5,5,25,30,100
"9","Europe","Asia",1989,434,50,10,30,100
"10","Latin America","Asia",1989,35,-15,-60,30,100
"11","North America","Asia",1989,7,45,-100,30,100
"12","Oceania","Asia",1989,5,-20,135,30,100
"13","Africa","Europe",1989,60438.5,5,25,50,10
"14","Asia","Europe",1989,207524,30,100,50,10
"16","Latin America","Europe",1989,31288,-15,-60,50,10
"17","North America","Europe",1989,36,45,-100,50,10
"18","Oceania","Europe",1989,55,-20,135,50,10
"19","Africa","Latin America",1989,5055.5,5,25,-15,-60
"20","Asia","Latin America",1989,721,30,100,-15,-60
"21","Europe","Latin America",1989,598.5,50,10,-15,-60
"23","North America","Latin America",1989,14,45,-100,-15,-60
"24","Oceania","Latin America",1989,1,-20,135,-15,-60
"25","Africa","North America",1989,44323,5,25,45,-100
"26","Asia","North America",1989,326085,30,100,45,-100
"27","Europe","North America",1989,145639,50,10,45,-100
"28","Latin America","North America",1989,43003.5,-15,-60,45,-100
"30","Oceania","North America",1989,47,-20,135,45,-100
"31","Africa","Oceania",1989,2004.5,5,25,-20,135
"32","Asia","Oceania",1989,32644.5,30,100,-20,135
"33","Europe","Oceania",1989,9512,50,10,-20,135
"34","Latin America","Oceania",1989,177,-15,-60,-20,135
"35","North America","Oceania",1989,3,45,-100,-20,135
"38","Asia","Africa",1990,1273,30,100,5,25
"39","Europe","Africa",1990,134,50,10,5,25
"40","Latin America","Africa",1990,197,-15,-60,5,25
"41","North America","Africa",1990,3,45,-100,5,25
"42","Oceania","Africa",1990,1,-20,135,5,25
"43","Africa","Asia",1990,10358,5,25,30,100
"45","Europe","Asia",1990,399,50,10,30,100
"46","Latin America","Asia",1990,36,-15,-60,30,100
"47","North America","Asia",1990,7,45,-100,30,100
"48","Oceania","Asia",1990,5,-20,135,30,100
"49","Africa","Europe",1990,63464,5,25,50,10
"50","Asia","Europe",1990,208033,30,100,50,10
"52","Latin America","Europe",1990,31451,-15,-60,50,10
"53","North America","Europe",1990,53,45,-100,50,10
"54","Oceania","Europe",1990,61,-20,135,50,10
"55","Africa","Latin America",1990,4692.5,5,25,-15,-60
