"","or_area","as_area","year","tot_compl","or_lat","or_long","as_lat","as_long"
"1","Africa","Africa",1989,5992627,5,25,5,25
"8","Asia","Asia",1989,7221983,30,100,30,100
"15","Europe","Europe",1989,169808,50,10,50,10
"22","Latin America","Latin America",1989,173813,-15,-60,-15,-60
"29","North America","North America",1989,318.5,45,-100,45,-100
"36","Oceania","Oceania",1989,486.5,-20,135,-20,135
"37","Africa","Africa",1990,6327941,5,25,5,25
"44","Asia","Asia",1990,8509512,30,100,30,100
"51","Europe","Europe",1990,181544.5,50,10,50,10
"58","Latin America","Latin America",1990,115423,-15,-60,-15,-60
"65","North America","North America",1990,327,45,-100,45,-100
"72","Oceania","Oceania",1990,534,-20,135,-20,135
"73","Africa","Africa",1991,5646341.5,5,25,5,25
"80","Asia","Asia",1991,8650367.5,30,100,30,100
"87","Europe","Europe",1991,624915.5,50,10,50,10
"94","Latin America","Latin America",1991,110903,-15,-60,-15,-60
"101","North America","North America",1991,350,45,-100,45,-100
"108","Oceania","Oceania",1991,625,-20,135,-20,135
"109","Africa","Africa",1992,5739011.5,5,25,5,25
"116","Asia","Asia",1992,7091334.5,30,100,30,100
"123","Europe","Europe",1992,1886134.5,50,10,50,10
"130","Latin America","Latin America",1992,107125,-15,-60,-15,-60
"137","North America","North America",1992,348.5,45,-100,45,-100
"144","Oceania","Oceania",1992,810,-20,135,-20,135
"145","Africa","Africa",1993,6377684.5,5,25,5,25
"152","Asia","Asia",1993,5189069,30,100,30,100
"159","Europe","Europe",1993,1809931.5,50,10,50,10
"166","Latin America","Latin America",1993,94143.5,-15,-60,-15,-60
"173","North America","North America",1993,351,45,-100,45,-100
"180","Oceania","Oceania",1993,1029,-20,135,-20,135
"181","Africa","Africa",1994,6758470,5,25,5,25
"188","Asia","Asia",1994,4409728.5,30,100,30,100
"195","Europe","Europe",1994,1573372,50,10,50,10
"202","Latin America","Latin America",1994,83310.5,-15,-60,-15,-60
"209","North America","North America",1994,371,45,-100,45,-100
"216","Oceania","Oceania",1994,1433.5,-20,135,-20,135
"217","Africa","Africa",1995,5642858,5,25,5,25
"224","Asia","Asia",1995,4260179,30,100,30,100
"231","Europe","Europe",1995,1686042.5,50,10,50,10
"238","Latin America","Latin America",1995,69393.5,-15,-60,-15,-60
"245","North America","North America",1995,250,45,-100,45,-100
"252","Oceania","Oceania",1995,2022,-20,135,-20,135
"253","Africa","Africa",1996,4350160,5,25,5,25
"260","Asia","Asia",1996,4206270.5,30,100,30,100
"267","Europe","Europe",1996,1934498.5,50,10,50,10
"274","Latin America","Latin America",1996,64544.5,-15,-60,-15,-60
"281","North America","North America",1996,146,45,-100,45,-100
"288","Oceania","Oceania",1996,2022,-20,135,-20,135
"289","Africa","Africa",1997,3482300.5,5,25,5,25
"296","Asia","Asia",1997,4181208,30,100,30,100
"303","Europe","Europe",1997,1762831,50,10,50,10
"310","Latin America","Latin America",1997,60034,-15,-60,-15,-60
"317","North America","North America",1997,64,45,-100,45,-100
"324","Oceania","Oceania",1997,821,-20,135,-20,135
"325","Africa","Africa",1998,3325016,5,25,5,25
"332","Asia","Asia",1998,4084937.5,30,100,30,100
"339","Europe","Europe",1998,1555555.5,50,10,50,10
"346","Latin America","Latin America",1998,56118.5,-15,-60,-15,-60
"353","North America","North America",1998,41,45,-100,45,-100
"360","Oceania","Oceania",1998,246,-20,135,-20,135
"361","Africa","Africa",1999,3504646.5,5,25,5,25
"368","Asia","Asia",1999,3931788.5,30,100,30,100
"375","Europe","Europe",1999,1534926,50,10,50,10
"382","Latin America","Latin America",1999,52462,-15,-60,-15,-60
"389","North America","North America",1999,33,45,-100,45,-100
"396","Oceania","Oceania",1999,161,-20,135,-20,135
"397","Africa","Africa",2000,3615767,5,25,5,25
"404","Asia","Asia",2000,4803410.5,30,100,30,100
"411","Europe","Europe",2000,1231204.5,50,10,50,10
"418","Latin America","Latin America",2000,30337,-15,-60,-15,-60
"425","North America","North America",2000,168,45,-100,45,-100
"432","Oceania","Oceania",2000,117,-20,135,-20,135
"433","Africa","Africa",2001,3282224,5,25,5,25
"440","Asia","Asia",2001,5006894,30,100,30,100
"447","Europe","Europe",2001,1115090.5,50,10,50,10
"454","Latin America","Latin America",2001,30214,-15,-60,-15,-60
"461","North America","North America",2001,207,45,-100,45,-100
"468","Oceania","Oceania",2001,77,-20,135,-20,135
"469","Africa","Africa",2002,3249795.5,5,25,5,25
"476","Asia","Asia",2002,3493855,30,100,30,100
"483","Europe","Europe",2002,1316606.5,50,10,50,10
"490","Latin America","Latin America",2002,33834,-15,-60,-15,-60
"497","North America","North America",2002,191,45,-100,45,-100
"504","Oceania","Oceania",2002,72,-20,135,-20,135
"505","Africa","Africa",2003,3029718.5,5,25,5,25
"512","Asia","Asia",2003,2969228.5,30,100,30,100
"519","Europe","Europe",2003,1167028.5,50,10,50,10
