"","or_region","as_region","year","tot_compl","or_lat","or_long","as_lat","as_long"
"1","Caribbean","Caribbean",1990,149.5,21,-78,21,-78
"21","CentralAmerica","CentralAmerica",1990,4004,16,-93,16,-93
"41","CentralAsia","CentralAsia",1990,711111,42,67,42,67
"61","EasternAfrica","EasternAfrica",1990,364413,3,40,3,40
"81","EasternAsia","EasternAsia",1990,0,41,116,41,116
"101","EasternEurope","EasternEurope",1990,14359,51,39,51,39
"121","MiddleAfrica","MiddleAfrica",1990,2818.5,1,17,1,17
"141","NorthernAfrica","NorthernAfrica",1990,2,29,9,29,9
"161","NorthernAmerica","NorthernAmerica",1990,8.5,45,-100,45,-100
"181","NorthernEurope","NorthernEurope",1990,0,59,15,59,15
"201","Oceania","Oceania",1990,47.5,-20,135,-20,135
"221","South-EasternAsia","South-EasternAsia",1990,15442,3,114,3,114
"241","SouthAmerica","SouthAmerica",1990,76.5,-25,-65,-25,-65
"261","SouthernAfrica","SouthernAfrica",1990,139823.5,-23,30,-23,30
"281","SouthernAsia","SouthernAsia",1990,4779,23,79,23,79
"301","SouthernEurope","SouthernEurope",1990,0,40,9,40,9
"321","WesternAfrica","WesternAfrica",1990,119653,11,1,11,1
"341","WesternAsia","WesternAsia",1990,58963,24,42,24,42
"361","WesternEurope","WesternEurope",1990,2,50,5,50,5
"362","Caribbean","Caribbean",1991,172,21,-78,21,-78
"382","CentralAmerica","CentralAmerica",1991,3819.5,16,-93,16,-93
"402","CentralAsia","CentralAsia",1991,125506,42,67,42,67
"422","EasternAfrica","EasternAfrica",1991,309426,3,40,3,40
"442","EasternAsia","EasternAsia",1991,1,41,116,41,116
"462","EasternEurope","EasternEurope",1991,2900.5,51,39,51,39
"482","MiddleAfrica","MiddleAfrica",1991,4325,1,17,1,17
"502","NorthernAfrica","NorthernAfrica",1991,0,29,9,29,9
"522","NorthernAmerica","NorthernAmerica",1991,23,45,-100,45,-100
"542","NorthernEurope","NorthernEurope",1991,2,59,15,59,15
"562","Oceania","Oceania",1991,91,-20,135,-20,135
"582","South-EasternAsia","South-EasternAsia",1991,800,3,114,3,114
"602","SouthAmerica","SouthAmerica",1991,81,-25,-65,-25,-65
"622","SouthernAfrica","SouthernAfrica",1991,104315.5,-23,30,-23,30
"642","SouthernAsia","SouthernAsia",1991,13391.5,23,79,23,79
"662","SouthernEurope","SouthernEurope",1991,0,40,9,40,9
"682","WesternAfrica","WesternAfrica",1991,128902.5,11,1,11,1
"702","WesternAsia","WesternAsia",1991,102939.5,24,42,24,42
"722","WesternEurope","WesternEurope",1991,6,50,5,50,5
"723","Caribbean","Caribbean",1992,60,21,-78,21,-78
"743","CentralAmerica","CentralAmerica",1992,876.5,16,-93,16,-93
"763","CentralAsia","CentralAsia",1992,31385.5,42,67,42,67
"783","EasternAfrica","EasternAfrica",1992,303259.5,3,40,3,40
"803","EasternAsia","EasternAsia",1992,0,41,116,41,116
"823","EasternEurope","EasternEurope",1992,2258,51,39,51,39
"843","MiddleAfrica","MiddleAfrica",1992,2097.5,1,17,1,17
"863","NorthernAfrica","NorthernAfrica",1992,2,29,9,29,9
"883","NorthernAmerica","NorthernAmerica",1992,0,45,-100,45,-100
"903","NorthernEurope","NorthernEurope",1992,57,59,15,59,15
"923","Oceania","Oceania",1992,185,-20,135,-20,135
"943","South-EasternAsia","South-EasternAsia",1992,1488,3,114,3,114
"963","SouthAmerica","SouthAmerica",1992,264.5,-25,-65,-25,-65
"983","SouthernAfrica","SouthernAfrica",1992,174872,-23,30,-23,30
"1003","SouthernAsia","SouthernAsia",1992,84584,23,79,23,79
"1023","SouthernEurope","SouthernEurope",1992,0,40,9,40,9
"1043","WesternAfrica","WesternAfrica",1992,59731.5,11,1,11,1
"1063","WesternAsia","WesternAsia",1992,160309,24,42,24,42
"1083","WesternEurope","WesternEurope",1992,6,50,5,50,5
"1084","Caribbean","Caribbean",1993,750,21,-78,21,-78
"1104","CentralAmerica","CentralAmerica",1993,8,16,-93,16,-93
"1124","CentralAsia","CentralAsia",1993,9513.5,42,67,42,67
"1144","EasternAfrica","EasternAfrica",1993,659782.5,3,40,3,40
"1164","EasternAsia","EasternAsia",1993,0,41,116,41,116
"1184","EasternEurope","EasternEurope",1993,11090,51,39,51,39
"1204","MiddleAfrica","MiddleAfrica",1993,30799,1,17,1,17
"1224","NorthernAfrica","NorthernAfrica",1993,1,29,9,29,9
"1244","NorthernAmerica","NorthernAmerica",1993,2.5,45,-100,45,-100
"1264","NorthernEurope","NorthernEurope",1993,37,59,15,59,15
"1284","Oceania","Oceania",1993,220,-20,135,-20,135
"1304","South-EasternAsia","South-EasternAsia",1993,2449.5,3,114,3,114
"1324","SouthAmerica","SouthAmerica",1993,302,-25,-65,-25,-65
"1344","SouthernAfrica","SouthernAfrica",1993,120658.5,-23,30,-23,30
"1364","SouthernAsia","SouthernAsia",1993,12706,23,79,23,79
"1384","SouthernEurope","SouthernEurope",1993,0,40,9,40,9
"1404","WesternAfrica","WesternAfrica",1993,454008,11,1,11,1
"1424","WesternAsia","WesternAsia",1993,191564.5,24,42,24,42
"1444","WesternEurope","WesternEurope",1993,9,50,5,50,5
"1445","Caribbean","Caribbean",1994,6,21,-78,21,-78
"1465","CentralAmerica","CentralAmerica",1994,10,16,-93,16,-93
"1485","CentralAsia","CentralAsia",1994,399,42,67,42,67
"1505","EasternAfrica","EasternAfrica",1994,686611,3,40,3,40
"1525","EasternAsia","EasternAsia",1994,0,41,116,41,116
"1545","EasternEurope","EasternEurope",1994,5622,51,39,51,39
"1565","MiddleAfrica","MiddleAfrica",1994,5989.5,1,17,1,17
"1585","NorthernAfrica","NorthernAfrica",1994,5,29,9,29,9
"1605","NorthernAmerica","NorthernAmerica",1994,20,45,-100,45,-100
"1625","NorthernEurope","NorthernEurope",1994,36,59,15,59,15
"1645","Oceania","Oceania",1994,406.5,-20,135,-20,135
"1665","South-EasternAsia","South-EasternAsia",1994,5258,3,114,3,114
"1685","SouthAmerica","SouthAmerica",1994,199.5,-25,-65,-25,-65
"1705","SouthernAfrica","SouthernAfrica",1994,305.5,-23,30,-23,30
"1725","SouthernAsia","SouthernAsia",1994,17936,23,79,23,79
"1745","SouthernEurope","SouthernEurope",1994,0,40,9,40,9
"1765","WesternAfrica","WesternAfrica",1994,199377,11,1,11,1
"1785","WesternAsia","WesternAsia",1994,132012.5,24,42,24,42
"1805","WesternEurope","WesternEurope",1994,8,50,5,50,5
"1806","Caribbean","Caribbean",1995,3,21,-78,21,-78
"1826","CentralAmerica","CentralAmerica",1995,278,16,-93,16,-93
"1846","CentralAsia","CentralAsia",1995,12579,42,67,42,67
"1866","EasternAfrica","EasternAfrica",1995,122320,3,40,3,40
"1886","EasternAsia","EasternAsia",1995,1,41,116,41,116
"1906","EasternEurope","EasternEurope",1995,185947.5,51,39,51,39
"1926","MiddleAfrica","MiddleAfrica",1995,10919,1,17,1,17
"1946","NorthernAfrica","NorthernAfrica",1995,15,29,9,29,9
"1966","NorthernAmerica","NorthernAmerica",1995,0,45,-100,45,-100
"1986","NorthernEurope","NorthernEurope",1995,13,59,15,59,15
"2006","Oceania","Oceania",1995,588.5,-20,135,-20,135
"2026","South-EasternAsia","South-EasternAsia",1995,44249,3,114,3,114
"2046","SouthAmerica","SouthAmerica",1995,562.5,-25,-65,-25,-65
"2066","SouthernAfrica","SouthernAfrica",1995,43.5,-23,30,-23,30
"2086","SouthernAsia","SouthernAsia",1995,1511,23,79,23,79
"2106","SouthernEurope","SouthernEurope",1995,0,40,9,40,9
"2126","WesternAfrica","WesternAfrica",1995,138453.5,11,1,11,1
"2146","WesternAsia","WesternAsia",1995,110602,24,42,24,42
"2166","WesternEurope","WesternEurope",1995,7,50,5,50,5
"2167","Caribbean","Caribbean",1996,51,21,-78,21,-78
"2187","CentralAmerica","CentralAmerica",1996,550,16,-93,16,-93
"2207","CentralAsia","CentralAsia",1996,4007,42,67,42,67
"2227","EasternAfrica","EasternAfrica",1996,250952,3,40,3,40
"2247","EasternAsia","EasternAsia",1996,0,41,116,41,116
"2267","EasternEurope","EasternEurope",1996,241548,51,39,51,39
"2287","MiddleAfrica","MiddleAfrica",1996,5601.5,1,17,1,17
"2307","NorthernAfrica","NorthernAfrica",1996,19,29,9,29,9
"2346","NorthernEurope","NorthernEurope",1996,4.5,59,15,59,15
"2366","Oceania","Oceania",1996,1,-20,135,-20,135
"2386","South-EasternAsia","South-EasternAsia",1996,13519.5,3,114,3,114
"2406","SouthAmerica","SouthAmerica",1996,40,-25,-65,-25,-65
"2426","SouthernAfrica","SouthernAfrica",1996,270,-23,30,-23,30
"2446","SouthernAsia","SouthernAsia",1996,9225,23,79,23,79
"2466","SouthernEurope","SouthernEurope",1996,0,40,9,40,9
"2486","WesternAfrica","WesternAfrica",1996,44529.5,11,1,11,1
"2506","WesternAsia","WesternAsia",1996,84086,24,42,24,42
"2526","WesternEurope","WesternEurope",1996,8,50,5,50,5
"2527","Caribbean","Caribbean",1997,15,21,-78,21,-78
"2547","CentralAmerica","CentralAmerica",1997,8.5,16,-93,16,-93
"2567","CentralAsia","CentralAsia",1997,3674,42,67,42,67
"2587","EasternAfrica","EasternAfrica",1997,86673,3,40,3,40
"2607","EasternAsia","EasternAsia",1997,0,41,116,41,116
"2627","EasternEurope","EasternEurope",1997,6926.5,51,39,51,39
"2647","MiddleAfrica","MiddleAfrica",1997,5381,1,17,1,17
"2667","NorthernAfrica","NorthernAfrica",1997,58.5,29,9,29,9
"2687","NorthernAmerica","NorthernAmerica",1997,3,45,-100,45,-100
"2707","NorthernEurope","NorthernEurope",1997,2,59,15,59,15
"2727","Oceania","Oceania",1997,2,-20,135,-20,135
