"","region","id"
"563467","CentralAsia","AFG"
"421212","MiddleAfrica","AGO"
"187027","EasternEurope","ALB"
"555147","WesternAsia","ARE"
"108161","SouthAmerica","ARG"
"256333","WesternAsia","ARM"
"676325","Oceania","AUS"
"162691","WesternEurope","AUT"
"264055","WesternAsia","AZE"
"396876","EasternAfrica","BDI"
"128961","WesternEurope","BEL"
"313676","WesternAfrica","BEN"
"334476","WesternAfrica","BFA"
"624372","SouthernAsia","BGD"
"220687","EasternEurope","BGR"
"546827","WesternAsia","BHR"
"8321","Caribbean","BHS"
"203944","EasternEurope","BIH"
"252472","EasternEurope","BLR"
"95681","SouthAmerica","BOL"
"91521","SouthAmerica","BRA"
"33281","Caribbean","BRB"
"616052","SouthernAsia","BTN"
"454344","SouthernAfrica","BWA"
"367756","MiddleAfrica","CAF"
"4161","NorthernAmerica","CAN"
"141441","WesternEurope","CHE"
"104001","SouthAmerica","CHL"
"586932","EasternAsia","CHN"
"326156","WesternAfrica","CIV"
"355276","MiddleAfrica","CMR"
"380236","MiddleAfrica","COD"
"376076","MiddleAfrica","COG"
"66561","SouthAmerica","COL"
"466824","SouthernAfrica","COM"
"288716","WesternAfrica","CPV"
"58241","CentralAmerica","CRI"
"171011","EasternEurope","CSK"
"12481","Caribbean","CUB"
"216527","SouthernEurope","CYP"
"171635","EasternEurope","CZE"
"158232","EasternEurope","DDR"
"153921","WesternEurope","DEU"
"409356","EasternAfrica","DJI"
"280396","NorthernEurope","DNK"
"20801","Caribbean","DOM"
"479304","NorthernAfrica","DZA"
"83201","SouthAmerica","ECU"
"508937","NorthernAfrica","EGY"
"417676","EasternAfrica","ERI"
"145601","SouthernEurope","ESP"
"237028","NorthernEurope","EST"
"413516","EasternAfrica","ETH"
"267916","NorthernEurope","FIN"
"692965","Oceania","FJI"
"137281","WesternEurope","FRA"
"363596","MiddleAfrica","GAB"
"116481","WesternEurope","GBR"
"260194","WesternAsia","GEO"
"346956","WesternAfrica","GHA"
"330316","WesternAfrica","GIN"
"301196","WesternAfrica","GMB"
"292876","WesternAfrica","GNB"
"297036","MiddleAfrica","GNQ"
"212367","SouthernEurope","GRC"
"41601","CentralAmerica","GTM"
"74881","SouthAmerica","GUY"
"45761","CentralAmerica","HND"
"196084","EasternEurope","HRV"
"16641","Caribbean","HTI"
"166851","EasternEurope","HUN"
"670132","South-EasternAsia","IDN"
"611892","SouthernAsia","IND"
"120641","WesternEurope","IRL"
"496457","CentralAsia","IRN"
"504777","WesternAsia","IRQ"
"284556","NorthernEurope","ISL"
"525577","WesternAsia","ISR"
"178707","SouthernEurope","ITA"
"24961","Caribbean","JAM"
"521417","WesternAsia","JOR"
"607732","EasternAsia","JPN"
"583071","CentralAsia","KAZ"
"388556","EasternAfrica","KEN"
"575349","CentralAsia","KGZ"
"645172","South-EasternAsia","KHM"
"603572","EasternAsia","KOR"
"542667","WesternAsia","KWT"
"649332","South-EasternAsia","LAO"
"517257","WesternAsia","LBN"
"338636","WesternAfrica","LBR"
"487624","NorthernAfrica","LBY"
"632692","SouthernAsia","LKA"
"450184","SouthernAfrica","LSO"
"244750","NorthernEurope","LTU"
"133121","WesternEurope","LUX"
"240889","NorthernEurope","LVA"
"475144","NorthernAfrica","MAR"
"224847","EasternEurope","MDA"
