"","or_region","as_region","year","tot_compl","or_lat","or_long","as_lat","as_long"
"2","CentralAmerica","Caribbean",1990,0,16,-93,21,-78
"3","CentralAsia","Caribbean",1990,0,42,67,21,-78
"4","EasternAfrica","Caribbean",1990,0,3,40,21,-78
"5","EasternAsia","Caribbean",1990,0,41,116,21,-78
"6","EasternEurope","Caribbean",1990,0,51,39,21,-78
"7","MiddleAfrica","Caribbean",1990,0,1,17,21,-78
"8","NorthernAfrica","Caribbean",1990,0,29,9,21,-78
"9","NorthernAmerica","Caribbean",1990,0,45,-100,21,-78
"10","NorthernEurope","Caribbean",1990,0,59,15,21,-78
"11","Oceania","Caribbean",1990,0,-20,135,21,-78
"12","South-EasternAsia","Caribbean",1990,0,3,114,21,-78
"13","SouthAmerica","Caribbean",1990,0,-25,-65,21,-78
"14","SouthernAfrica","Caribbean",1990,0,-23,30,21,-78
"15","SouthernAsia","Caribbean",1990,0,23,79,21,-78
"16","SouthernEurope","Caribbean",1990,0,40,9,21,-78
"17","WesternAfrica","Caribbean",1990,1,11,1,21,-78
"18","WesternAsia","Caribbean",1990,0,24,42,21,-78
"19","WesternEurope","Caribbean",1990,0,50,5,21,-78
"20","Caribbean","CentralAmerica",1990,8.5,21,-78,16,-93
"22","CentralAsia","CentralAmerica",1990,0,42,67,16,-93
"23","EasternAfrica","CentralAmerica",1990,0,3,40,16,-93
"24","EasternAsia","CentralAmerica",1990,0,41,116,16,-93
"25","EasternEurope","CentralAmerica",1990,0,51,39,16,-93
"26","MiddleAfrica","CentralAmerica",1990,1,1,17,16,-93
"27","NorthernAfrica","CentralAmerica",1990,0,29,9,16,-93
"28","NorthernAmerica","CentralAmerica",1990,0,45,-100,16,-93
"29","NorthernEurope","CentralAmerica",1990,0,59,15,16,-93
"30","Oceania","CentralAmerica",1990,0,-20,135,16,-93
"31","South-EasternAsia","CentralAmerica",1990,0,3,114,16,-93
"32","SouthAmerica","CentralAmerica",1990,51.5,-25,-65,16,-93
"33","SouthernAfrica","CentralAmerica",1990,0,-23,30,16,-93
"34","SouthernAsia","CentralAmerica",1990,1,23,79,16,-93
"35","SouthernEurope","CentralAmerica",1990,0,40,9,16,-93
"36","WesternAfrica","CentralAmerica",1990,0,11,1,16,-93
"37","WesternAsia","CentralAmerica",1990,0,24,42,16,-93
"38","WesternEurope","CentralAmerica",1990,0,50,5,16,-93
"39","Caribbean","CentralAsia",1990,0,21,-78,42,67
"40","CentralAmerica","CentralAsia",1990,0,16,-93,42,67
"42","EasternAfrica","CentralAsia",1990,0,3,40,42,67
"43","EasternAsia","CentralAsia",1990,0,41,116,42,67
"44","EasternEurope","CentralAsia",1990,0,51,39,42,67
"45","MiddleAfrica","CentralAsia",1990,0,1,17,42,67
"46","NorthernAfrica","CentralAsia",1990,0,29,9,42,67
"47","NorthernAmerica","CentralAsia",1990,0,45,-100,42,67
"48","NorthernEurope","CentralAsia",1990,0,59,15,42,67
"49","Oceania","CentralAsia",1990,0,-20,135,42,67
"50","South-EasternAsia","CentralAsia",1990,0,3,114,42,67
"51","SouthAmerica","CentralAsia",1990,0,-25,-65,42,67
"52","SouthernAfrica","CentralAsia",1990,0,-23,30,42,67
"53","SouthernAsia","CentralAsia",1990,1,23,79,42,67
"54","SouthernEurope","CentralAsia",1990,0,40,9,42,67
"55","WesternAfrica","CentralAsia",1990,0,11,1,42,67
"56","WesternAsia","CentralAsia",1990,613291,24,42,42,67
"57","WesternEurope","CentralAsia",1990,0,50,5,42,67
"58","Caribbean","EasternAfrica",1990,0,21,-78,3,40
"59","CentralAmerica","EasternAfrica",1990,0,16,-93,3,40
"60","CentralAsia","EasternAfrica",1990,0,42,67,3,40
"62","EasternAsia","EasternAfrica",1990,0,41,116,3,40
"63","EasternEurope","EasternAfrica",1990,0,51,39,3,40
"64","MiddleAfrica","EasternAfrica",1990,62111,1,17,3,40
"65","NorthernAfrica","EasternAfrica",1990,0,29,9,3,40
"66","NorthernAmerica","EasternAfrica",1990,0,45,-100,3,40
"67","NorthernEurope","EasternAfrica",1990,0,59,15,3,40
"68","Oceania","EasternAfrica",1990,0,-20,135,3,40
"69","South-EasternAsia","EasternAfrica",1990,0,3,114,3,40
"70","SouthAmerica","EasternAfrica",1990,0,-25,-65,3,40
"71","SouthernAfrica","EasternAfrica",1990,9.5,-23,30,3,40
"72","SouthernAsia","EasternAfrica",1990,0,23,79,3,40
"73","SouthernEurope","EasternAfrica",1990,0,40,9,3,40
"74","WesternAfrica","EasternAfrica",1990,5.5,11,1,3,40
"75","WesternAsia","EasternAfrica",1990,1,24,42,3,40
"76","WesternEurope","EasternAfrica",1990,0,50,5,3,40
"77","Caribbean","EasternAsia",1990,0,21,-78,41,116
"78","CentralAmerica","EasternAsia",1990,0,16,-93,41,116
"79","CentralAsia","EasternAsia",1990,3,42,67,41,116
"80","EasternAfrica","EasternAsia",1990,2,3,40,41,116
"82","EasternEurope","EasternAsia",1990,0,51,39,41,116
"83","MiddleAfrica","EasternAsia",1990,2,1,17,41,116
"84","NorthernAfrica","EasternAsia",1990,1,29,9,41,116
"85","NorthernAmerica","EasternAsia",1990,0,45,-100,41,116
"86","NorthernEurope","EasternAsia",1990,0,59,15,41,116
"87","Oceania","EasternAsia",1990,0,-20,135,41,116
"88","South-EasternAsia","EasternAsia",1990,11222,3,114,41,116
"89","SouthAmerica","EasternAsia",1990,0,-25,-65,41,116
"90","SouthernAfrica","EasternAsia",1990,1.5,-23,30,41,116
"91","SouthernAsia","EasternAsia",1990,0,23,79,41,116
"92","SouthernEurope","EasternAsia",1990,0,40,9,41,116
"93","WesternAfrica","EasternAsia",1990,1,11,1,41,116
"94","WesternAsia","EasternAsia",1990,1,24,42,41,116
"95","WesternEurope","EasternAsia",1990,0,50,5,41,116
"96","Caribbean","EasternEurope",1990,0,21,-78,51,39
"97","CentralAmerica","EasternEurope",1990,0,16,-93,51,39
"98","CentralAsia","EasternEurope",1990,10.5,42,67,51,39
"99","EasternAfrica","EasternEurope",1990,3,3,40,51,39
"100","EasternAsia","EasternEurope",1990,2,41,116,51,39
"102","MiddleAfrica","EasternEurope",1990,1,1,17,51,39
"103","NorthernAfrica","EasternEurope",1990,2.5,29,9,51,39
"104","NorthernAmerica","EasternEurope",1990,0,45,-100,51,39
"105","NorthernEurope","EasternEurope",1990,0,59,15,51,39
"106","Oceania","EasternEurope",1990,0,-20,135,51,39
"107","South-EasternAsia","EasternEurope",1990,0.5,3,114,51,39
"108","SouthAmerica","EasternEurope",1990,0,-25,-65,51,39
"109","SouthernAfrica","EasternEurope",1990,0,-23,30,51,39
"110","SouthernAsia","EasternEurope",1990,45,23,79,51,39
