"","or_region","asylum","as_region","as_iso3c","year","tot_compl"
"31222","NorthernAmerica","Canada","NorthernAmerica","CAN",2000,129
"37848","NorthernAmerica","Germany","WesternEurope","DEU",2002,54
"43923","NorthernAmerica","Canada","NorthernAmerica","CAN",2004,65
"47113","NorthernAmerica","Canada","NorthernAmerica","CAN",2005,335
"47397","NorthernAmerica","Germany","WesternEurope","DEU",2005,74
"50303","NorthernAmerica","Canada","NorthernAmerica","CAN",2006,409
"50587","NorthernAmerica","Germany","WesternEurope","DEU",2006,262
"53777","NorthernAmerica","Germany","WesternEurope","DEU",2007,685
"53492","NorthernAmerica","Canada","NorthernAmerica","CAN",2007,561
"56701","NorthernAmerica","Canada","NorthernAmerica","CAN",2008,209
"59910","NorthernAmerica","Canada","NorthernAmerica","CAN",2009,484
"63118","NorthernAmerica","Canada","NorthernAmerica","CAN",2010,350
"66327","NorthernAmerica","Canada","NorthernAmerica","CAN",2011,632
"69536","NorthernAmerica","Canada","NorthernAmerica","CAN",2012,834
"72766","NorthernAmerica","Canada","NorthernAmerica","CAN",2013,406
"2618","Caribbean","United States","NorthernAmerica","USA",1990,4785
"647","Caribbean","Cuba","Caribbean","CUB",1990,115
"5403","Caribbean","United States","NorthernAmerica","USA",1991,3867
"3412","Caribbean","Cuba","Caribbean","CUB",1991,142
"3659","Caribbean","France","WesternEurope","FRA",1991,114
"8460","Caribbean","United States","NorthernAmerica","USA",1992,3792
"11557","Caribbean","United States","NorthernAmerica","USA",1993,2277
"9410","Caribbean","Dominican Republic","Caribbean","DOM",1993,750
"11253","Caribbean","Sweden","NorthernEurope","SWE",1993,141
"9486","Caribbean","Spain","SouthernEurope","ESP",1993,113
"9087","Caribbean","Canada","NorthernAmerica","CAN",1993,65
"14730","Caribbean","United States","NorthernAmerica","USA",1994,4817
"12393","Caribbean","Costa Rica","CentralAmerica","CRI",1994,379
"14426","Caribbean","Sweden","NorthernEurope","SWE",1994,164
"12621","Caribbean","Spain","SouthernEurope","ESP",1994,138
"11785","Caribbean","Argentina","SouthAmerica","ARG",1994,65
"17902","Caribbean","United States","NorthernAmerica","USA",1995,4302
"15565","Caribbean","Costa Rica","CentralAmerica","CRI",1995,166
"15793","Caribbean","Spain","SouthernEurope","ESP",1995,107
"17598","Caribbean","Sweden","NorthernEurope","SWE",1995,57
"21074","Caribbean","United States","NorthernAmerica","USA",1996,2082
"18737","Caribbean","Costa Rica","CentralAmerica","CRI",1996,74
"24244","Caribbean","United States","NorthernAmerica","USA",1997,885
"21908","Caribbean","Costa Rica","CentralAmerica","CRI",1997,68
"22136","Caribbean","Spain","SouthernEurope","ESP",1997,66
"25155","Caribbean","Germany","WesternEurope","DEU",1998,52
"29846","Caribbean","Peru","SouthAmerica","PER",1999,165
"28250","Caribbean","Costa Rica","CentralAmerica","CRI",1999,102
"30283","Caribbean","Sweden","NorthernEurope","SWE",1999,98
"31214","Caribbean","Canada","NorthernAmerica","CAN",2000,442
"31423","Caribbean","Costa Rica","CentralAmerica","CRI",2000,119
"31499","Caribbean","Germany","WesternEurope","DEU",2000,67
"34387","Caribbean","Canada","NorthernAmerica","CAN",2001,305
"34672","Caribbean","Germany","WesternEurope","DEU",2001,102
"36930","Caribbean","United States","NorthernAmerica","USA",2001,93
"34596","Caribbean","Costa Rica","CentralAmerica","CRI",2001,71
"40101","Caribbean","United States","NorthernAmerica","USA",2002,418
"38087","Caribbean","France","WesternEurope","FRA",2002,167
"37840","Caribbean","Germany","WesternEurope","DEU",2002,109
"37764","Caribbean","Costa Rica","CentralAmerica","CRI",2002,69
"41258","Caribbean","France","WesternEurope","FRA",2003,91
"41296","Caribbean","United Kingdom","WesternEurope","GBR",2003,89
"40935","Caribbean","Costa Rica","CentralAmerica","CRI",2003,58
"46478","Caribbean","United States","NorthernAmerica","USA",2004,1929
"44446","Caribbean","France","WesternEurope","FRA",2004,238
"43915","Caribbean","Canada","NorthernAmerica","CAN",2004,71
"44484","Caribbean","United Kingdom","WesternEurope","GBR",2004,60
"49669","Caribbean","United States","NorthernAmerica","USA",2005,6981
"47636","Caribbean","France","WesternEurope","FRA",2005,354
"47105","Caribbean","Canada","NorthernAmerica","CAN",2005,288
"47390","Caribbean","Germany","WesternEurope","DEU",2005,122
"47314","Caribbean","Costa Rica","CentralAmerica","CRI",2005,63
"52858","Caribbean","United States","NorthernAmerica","USA",2006,21070
"50825","Caribbean","France","WesternEurope","FRA",2006,485
"50580","Caribbean","Germany","WesternEurope","DEU",2006,295
"50295","Caribbean","Canada","NorthernAmerica","CAN",2006,281
"53484","Caribbean","Canada","NorthernAmerica","CAN",2007,1746
"56067","Caribbean","United States","NorthernAmerica","USA",2007,585
"55288","Caribbean","Panama","CentralAmerica","PAN",2007,381
"54015","Caribbean","France","WesternEurope","FRA",2007,300
"53769","Caribbean","Germany","WesternEurope","DEU",2007,142
"58497","Caribbean","Panama","CentralAmerica","PAN",2008,620
"59276","Caribbean","United States","NorthernAmerica","USA",2008,473
"56693","Caribbean","Canada","NorthernAmerica","CAN",2008,209
"57224","Caribbean","France","WesternEurope","FRA",2008,149
"56294","Caribbean","Argentina","SouthAmerica","ARG",2008,62
"62484","Caribbean","United States","NorthernAmerica","USA",2009,619
"59902","Caribbean","Canada","NorthernAmerica","CAN",2009,315
"60432","Caribbean","France","WesternEurope","FRA",2009,166
"60242","Caribbean","Dominican Republic","Caribbean","DOM",2009,52
"61287","Caribbean","Mexico","CentralAmerica","MEX",2009,51
"63111","Caribbean","Canada","NorthernAmerica","CAN",2010,1263
"63546","Caribbean","Spain","SouthernEurope","ESP",2010,202
"63641","Caribbean","France","WesternEurope","FRA",2010,156
"65693","Caribbean","United States","NorthernAmerica","USA",2010,89
"63679","Caribbean","United Kingdom","WesternEurope","GBR",2010,56
"68901","Caribbean","United States","NorthernAmerica","USA",2011,5761
"66319","Caribbean","Canada","NorthernAmerica","CAN",2011,2171
"66755","Caribbean","Spain","SouthernEurope","ESP",2011,533
"66850","Caribbean","France","WesternEurope","FRA",2011,155
"66888","Caribbean","United Kingdom","WesternEurope","GBR",2011,61
"72131","Caribbean","United States","NorthernAmerica","USA",2012,2923
"69528","Caribbean","Canada","NorthernAmerica","CAN",2012,1978
"69870","Caribbean","Dominican Republic","Caribbean","DOM",2012,155
"70060","Caribbean","France","WesternEurope","FRA",2012,94
"72758","Caribbean","Canada","NorthernAmerica","CAN",2013,1234
"73283","Caribbean","France","WesternEurope","FRA",2013,58
"75351","Caribbean","United States","NorthernAmerica","USA",2013,57
"1615","CentralAmerica","Mexico","CentralAmerica","MEX",1990,3267
"2619","CentralAmerica","United States","NorthernAmerica","USA",1990,2707
"1065","CentralAmerica","Guatemala","CentralAmerica","GTM",1990,682
"401","CentralAmerica","Canada","NorthernAmerica","CAN",1990,335
"2374","CentralAmerica","Sweden","NorthernEurope","SWE",1990,110
"4379","CentralAmerica","Mexico","CentralAmerica","MEX",1991,3791
"5157","CentralAmerica","Sweden","NorthernEurope","SWE",1991,423
"5404","CentralAmerica","United States","NorthernAmerica","USA",1991,146
"3166","CentralAmerica","Canada","NorthernAmerica","CAN",1991,69
"7359","CentralAmerica","Mexico","CentralAmerica","MEX",1992,825
"6011","CentralAmerica","Canada","NorthernAmerica","CAN",1992,814
"8461","CentralAmerica","United States","NorthernAmerica","USA",1992,177
"8157","CentralAmerica","Sweden","NorthernEurope","SWE",1992,155
"9088","CentralAmerica","Canada","NorthernAmerica","CAN",1993,362
"11558","CentralAmerica","United States","NorthernAmerica","USA",1993,162
"14731","CentralAmerica","United States","NorthernAmerica","USA",1994,363
"12185","CentralAmerica","Canada","NorthernAmerica","CAN",1994,206
"17903","CentralAmerica","United States","NorthernAmerica","USA",1995,1507
"17010","CentralAmerica","Nicaragua","CentralAmerica","NIC",1995,254
"21075","CentralAmerica","United States","NorthernAmerica","USA",1996,1515
"18169","CentralAmerica","Australia","Oceania","AUS",1996,1117
"20315","CentralAmerica","Panama","CentralAmerica","PAN",1996,477
